"Date","Price","Open","High","Low","Vol.","Change %"
"10/19/2019","0.5830","0.5830","0.5830","0.5830","","-0.02%"
"10/18/2019","0.5831","0.5879","0.6000","0.5775","100.13K","-1.20%"
"10/17/2019","0.5902","0.5800","0.6000","0.5774","232.20K","-1.45%"
"10/16/2019","0.5989","0.5900","0.6017","0.5888","187.36K","-0.18%"
"10/15/2019","0.6000","0.6085","0.6210","0.5900","281.49K","-0.84%"
"10/14/2019","0.6051","0.6250","0.6300","0.6000","131.47K","-3.95%"
"10/13/2019","0.6300","0.6300","0.6300","0.6300","","0.00%"
"10/12/2019","0.6300","0.6300","0.6300","0.6300","","0.00%"
"10/11/2019","0.6300","0.6240","0.6333","0.6171","390.36K","2.71%"
"10/10/2019","0.6134","0.6100","0.6500","0.6001","594.10K","3.27%"
"10/09/2019","0.5940","0.6200","0.6200","0.5900","303.86K","-1.93%"
"10/08/2019","0.6057","0.6110","0.6324","0.6000","823.20K","-1.43%"
"10/07/2019","0.6145","0.6023","0.6232","0.5833","705.59K","3.63%"
"10/06/2019","0.5930","0.5930","0.5930","0.5930","","0.00%"
"10/05/2019","0.5930","0.5930","0.5930","0.5930","","0.00%"
"10/04/2019","0.5930","0.5900","0.6093","0.5832","401.32K","-0.17%"
"10/03/2019","0.5940","0.5900","0.6000","0.5832","235.67K","1.59%"
"10/02/2019","0.5847","0.5943","0.6060","0.5825","263.99K","-0.90%"
"10/01/2019","0.5900","0.6067","0.6100","0.5888","99.49K","-2.80%"
"09/30/2019","0.6070","0.5934","0.6100","0.5791","257.93K","1.17%"
"09/29/2019","0.6000","0.6000","0.6000","0.6000","","0.00%"
"09/28/2019","0.6000","0.6000","0.6000","0.6000","","0.02%"
"09/27/2019","0.5999","0.6000","0.6099","0.5924","113.67K","1.75%"
"09/26/2019","0.5896","0.5750","0.6100","0.5750","368.21K","0.00%"
"09/25/2019","0.5896","0.5998","0.6100","0.5766","223.73K","-1.73%"
"09/24/2019","0.6000","0.6050","0.6126","0.6000","253.35K","0.00%"
"09/23/2019","0.6000","0.6011","0.6219","0.5948","591.26K","-0.17%"
"09/22/2019","0.6010","0.6010","0.6010","0.6010","","0.00%"
"09/21/2019","0.6010","0.6010","0.6010","0.6010","","0.02%"
"09/20/2019","0.6009","0.6020","0.6020","0.5750","322.37K","-0.05%"
"09/19/2019","0.6012","0.5832","0.6031","0.5701","414.61K","3.10%"
"09/18/2019","0.5831","0.6100","0.6100","0.5831","224.87K","-4.44%"
"09/17/2019","0.6102","0.6210","0.6300","0.6000","346.26K","-1.58%"
